epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.36,1.56835,2.20608,1.27449,0.70511,0.69776,0.72278,0.39136,1.44376,1.42753,1.35947,0.00332733,0.00332733,0.00332733
2,843.206,1.51544,1.38754,1.22077,0.74576,0.69942,0.73807,0.39719,1.5523,1.23346,1.52495,0.00664747,0.00664747,0.00664747
3,1252.43,1.56762,1.31404,1.25216,0.60449,0.47292,0.47696,0.23751,1.80886,1.97007,1.68736,0.00995442,0.00995442,0.00995442
4,1653.96,1.60997,1.30571,1.28145,0.61963,0.58981,0.60374,0.31442,1.65868,1.49645,1.5754,0.0099406,0.0099406,0.0099406
5,2056.99,1.55905,1.20529,1.25827,0.76609,0.73665,0.78413,0.45904,1.47251,1.00403,1.40431,0.0099208,0.0099208,0.0099208
6,2461.28,1.5153,1.13977,1.2394,0.80295,0.76893,0.81698,0.48229,1.44473,0.93119,1.38628,0.009901,0.009901,0.009901
7,2867.63,1.48952,1.09975,1.22822,0.79299,0.78396,0.82186,0.48501,1.45708,0.91006,1.40715,0.0098812,0.0098812,0.0098812
8,3275.16,1.46587,1.07123,1.21775,0.79919,0.76267,0.8143,0.48664,1.43444,0.92297,1.38213,0.0098614,0.0098614,0.0098614
9,3675.85,1.4544,1.04137,1.2041,0.81699,0.77953,0.83521,0.50724,1.42522,0.86108,1.36751,0.0098416,0.0098416,0.0098416
10,4075.81,1.43701,1.01502,1.19504,0.79928,0.77767,0.82121,0.49415,1.40263,0.89453,1.36194,0.0098218,0.0098218,0.0098218
11,4473.1,1.41356,0.99557,1.18593,0.78254,0.79978,0.82913,0.50822,1.379,0.88772,1.33686,0.009802,0.009802,0.009802
12,4873.01,1.40621,0.9794,1.17781,0.82773,0.81544,0.8548,0.53176,1.36059,0.81055,1.31933,0.0097822,0.0097822,0.0097822
13,5269.93,1.38526,0.95943,1.17098,0.80262,0.81626,0.84265,0.52051,1.37144,0.81389,1.33726,0.0097624,0.0097624,0.0097624
14,5671.87,1.37942,0.9512,1.16697,0.82813,0.81104,0.86357,0.54442,1.34004,0.78021,1.31626,0.0097426,0.0097426,0.0097426
15,352.599,1.36609,0.92804,1.16186,0.81674,0.81661,0.85914,0.53635,1.34121,0.77925,1.31772,0.0097228,0.0097228,0.0097228
16,690.091,1.35755,0.92399,1.16035,0.82088,0.81403,0.86078,0.5453,1.32843,0.77701,1.3049,0.009703,0.009703,0.009703
17,1027.44,1.35286,0.91891,1.15513,0.84452,0.82714,0.87578,0.55599,1.33042,0.7337,1.30855,0.0096832,0.0096832,0.0096832
18,1365.49,1.34953,0.90543,1.1508,0.81668,0.83084,0.8707,0.553,1.33091,0.74769,1.31456,0.0096634,0.0096634,0.0096634
19,1706.21,1.34112,0.88973,1.14667,0.83409,0.82475,0.87068,0.56053,1.30762,0.71988,1.29296,0.0096436,0.0096436,0.0096436
20,2046.33,1.33178,0.87942,1.14323,0.829,0.83193,0.87619,0.5629,1.31306,0.72383,1.30136,0.0096238,0.0096238,0.0096238
21,2385.32,1.32302,0.87834,1.13889,0.83955,0.82844,0.87684,0.5635,1.30522,0.72011,1.28987,0.009604,0.009604,0.009604
22,2723.82,1.31962,0.87596,1.14027,0.83626,0.83414,0.87896,0.56747,1.29089,0.72092,1.28231,0.0095842,0.0095842,0.0095842
23,3061.52,1.31916,0.8687,1.13559,0.83684,0.84638,0.8826,0.5738,1.28679,0.69498,1.26848,0.0095644,0.0095644,0.0095644
24,3398.42,1.31365,0.8592,1.13202,0.82716,0.84162,0.8773,0.57051,1.27368,0.70689,1.26422,0.0095446,0.0095446,0.0095446
25,3732.77,1.30117,0.85064,1.12802,0.83892,0.84428,0.88447,0.57924,1.27542,0.69997,1.27032,0.0095248,0.0095248,0.0095248
26,4071.83,1.30124,0.84628,1.12296,0.843,0.84562,0.89186,0.58416,1.26799,0.67994,1.26321,0.009505,0.009505,0.009505
27,4409.53,1.28735,0.83519,1.12162,0.84624,0.83865,0.8872,0.58308,1.26535,0.67962,1.26565,0.0094852,0.0094852,0.0094852
28,4747.17,1.28454,0.83458,1.1209,0.85879,0.83308,0.89142,0.58776,1.25346,0.67542,1.2588,0.0094654,0.0094654,0.0094654
29,5084.46,1.29079,0.83716,1.12224,0.84347,0.84811,0.89019,0.58691,1.26153,0.67792,1.26695,0.0094456,0.0094456,0.0094456
30,5425.46,1.28922,0.83476,1.12232,0.8455,0.8373,0.88898,0.5873,1.25326,0.68856,1.25832,0.0094258,0.0094258,0.0094258
31,5765.37,1.28806,0.82552,1.126,0.84352,0.84241,0.88954,0.59037,1.24815,0.67651,1.25456,0.009406,0.009406,0.009406
32,6102.69,1.28369,0.82937,1.11655,0.84441,0.84759,0.89173,0.59181,1.25745,0.66548,1.26125,0.0093862,0.0093862,0.0093862
33,6441.45,1.28479,0.81767,1.11724,0.85045,0.84897,0.89128,0.59292,1.25061,0.6654,1.25509,0.0093664,0.0093664,0.0093664
34,6777.07,1.2715,0.81785,1.11468,0.84734,0.84917,0.89246,0.59609,1.24021,0.66383,1.25096,0.0093466,0.0093466,0.0093466
35,356.581,1.2523,0.79285,1.10791,0.85403,0.852,0.89621,0.59995,1.23744,0.65459,1.24352,0.0093268,0.0093268,0.0093268
36,701.382,1.25514,0.80401,1.10835,0.8565,0.85054,0.89708,0.60158,1.23828,0.65558,1.24729,0.009307,0.009307,0.009307
37,1048.08,1.25767,0.80601,1.10615,0.85018,0.85755,0.8975,0.60295,1.23332,0.65087,1.24115,0.0092872,0.0092872,0.0092872
38,1395.45,1.26053,0.79997,1.10675,0.84671,0.85338,0.89562,0.60105,1.237,0.65763,1.24715,0.0092674,0.0092674,0.0092674
39,1741.09,1.25613,0.79083,1.10554,0.84923,0.85515,0.89755,0.6037,1.22918,0.65029,1.2435,0.0092476,0.0092476,0.0092476
40,2087.37,1.24777,0.78543,1.10389,0.85323,0.85134,0.89772,0.60456,1.22886,0.64974,1.24168,0.0092278,0.0092278,0.0092278
41,2435.1,1.24506,0.78578,1.09985,0.84678,0.85703,0.89699,0.60591,1.22515,0.65106,1.23979,0.009208,0.009208,0.009208
42,2775.4,1.24283,0.78854,1.10268,0.84755,0.8613,0.89896,0.60652,1.22347,0.64657,1.23592,0.0091882,0.0091882,0.0091882
43,3119.11,1.24546,0.78779,1.10128,0.84948,0.85857,0.89797,0.60638,1.22017,0.6457,1.23517,0.0091684,0.0091684,0.0091684
44,3469.46,1.24357,0.78493,1.0997,0.85354,0.85734,0.89912,0.60726,1.21685,0.64406,1.23261,0.0091486,0.0091486,0.0091486
45,3819.17,1.23511,0.77841,1.09651,0.85441,0.85782,0.9005,0.60891,1.21295,0.6386,1.22947,0.0091288,0.0091288,0.0091288
46,4171.55,1.23702,0.77646,1.0945,0.85786,0.85848,0.90131,0.61027,1.21057,0.63936,1.22652,0.009109,0.009109,0.009109
47,4517.29,1.22311,0.7675,1.0915,0.85989,0.85692,0.90094,0.61072,1.21074,0.63968,1.227,0.0090892,0.0090892,0.0090892
48,4859.66,1.22268,0.76749,1.09153,0.8602,0.8546,0.90104,0.61175,1.20703,0.63574,1.22689,0.0090694,0.0090694,0.0090694
49,5200.63,1.22535,0.76738,1.09016,0.85821,0.85918,0.90092,0.61215,1.20611,0.63565,1.22656,0.0090496,0.0090496,0.0090496
50,5542.98,1.2258,0.77127,1.09201,0.85458,0.86087,0.90083,0.61234,1.2067,0.63467,1.22767,0.0090298,0.0090298,0.0090298
51,377.21,1.19352,0.73136,1.07845,0.85544,0.86103,0.90199,0.61335,1.20529,0.63085,1.22684,0.00901,0.00901,0.00901
52,745.418,1.20532,0.75119,1.08321,0.8573,0.86165,0.90201,0.61479,1.2054,0.63016,1.22729,0.0089902,0.0089902,0.0089902
53,1111.74,1.20924,0.75645,1.08386,0.85737,0.86379,0.90243,0.61544,1.20522,0.62855,1.22703,0.0089704,0.0089704,0.0089704
54,1481.06,1.21413,0.75382,1.08602,0.85279,0.86648,0.90206,0.61525,1.20566,0.63079,1.22729,0.0089506,0.0089506,0.0089506
55,1843.54,1.21182,0.74993,1.08418,0.85419,0.8647,0.9026,0.61566,1.20534,0.63128,1.22803,0.0089308,0.0089308,0.0089308
56,2205.02,1.20399,0.74628,1.08324,0.85591,0.86204,0.90264,0.6155,1.20566,0.63162,1.22838,0.008911,0.008911,0.008911
57,2564.94,1.20391,0.74546,1.08131,0.85518,0.86316,0.90288,0.61583,1.20486,0.63084,1.2281,0.0088912,0.0088912,0.0088912
58,2928.93,1.20365,0.74832,1.08347,0.85795,0.86189,0.90299,0.61616,1.20444,0.63096,1.22759,0.0088714,0.0088714,0.0088714
59,3292.27,1.20492,0.75082,1.08155,0.85848,0.85809,0.9024,0.61623,1.20454,0.63245,1.22746,0.0088516,0.0088516,0.0088516
60,3650.75,1.20549,0.75015,1.08101,0.85838,0.8583,0.90168,0.61638,1.20372,0.63301,1.22659,0.0088318,0.0088318,0.0088318
61,4010.5,1.20013,0.7446,1.08099,0.85786,0.85947,0.90252,0.61691,1.2028,0.63338,1.22609,0.008812,0.008812,0.008812
62,4370.65,1.20484,0.74723,1.0801,0.85845,0.85972,0.90261,0.61766,1.20239,0.63339,1.22571,0.0087922,0.0087922,0.0087922
63,4730.53,1.19344,0.74106,1.08019,0.85802,0.86088,0.90246,0.61779,1.20223,0.63314,1.22593,0.0087724,0.0087724,0.0087724
64,5094.73,1.19431,0.74069,1.07728,0.85728,0.86058,0.90222,0.61768,1.20135,0.63329,1.22541,0.0087526,0.0087526,0.0087526
65,5460.34,1.20155,0.74606,1.07758,0.85616,0.85962,0.90142,0.61759,1.20085,0.63291,1.22532,0.0087328,0.0087328,0.0087328
66,5827.49,1.20356,0.7503,1.0797,0.85548,0.85998,0.90142,0.61782,1.20071,0.63273,1.2256,0.008713,0.008713,0.008713
67,6192.69,1.20758,0.74443,1.08671,0.85386,0.86053,0.90159,0.61788,1.20067,0.63268,1.22592,0.0086932,0.0086932,0.0086932
68,6558.73,1.20855,0.75088,1.07877,0.85459,0.8599,0.90188,0.61799,1.2002,0.63223,1.22557,0.0086734,0.0086734,0.0086734
69,6922.13,1.21032,0.74446,1.08073,0.8544,0.8603,0.90203,0.61838,1.20005,0.63188,1.2253,0.0086536,0.0086536,0.0086536
70,7291.99,1.20005,0.74091,1.07993,0.85354,0.86204,0.90189,0.61868,1.19973,0.63111,1.22531,0.0086338,0.0086338,0.0086338
71,7658.25,1.20126,0.74141,1.07911,0.85326,0.86237,0.90216,0.61892,1.19964,0.63011,1.22536,0.008614,0.008614,0.008614
72,8026.08,1.21013,0.75003,1.08097,0.85679,0.86045,0.90245,0.61924,1.19893,0.62968,1.22496,0.0085942,0.0085942,0.0085942
73,370.907,1.14055,0.68811,1.05746,0.85185,0.86467,0.90254,0.61938,1.19863,0.62874,1.22505,0.0085744,0.0085744,0.0085744
74,720.355,1.16404,0.71371,1.06549,0.85339,0.86363,0.90265,0.61979,1.19795,0.6284,1.22451,0.0085546,0.0085546,0.0085546
75,1069.36,1.17252,0.72387,1.06872,0.8568,0.86103,0.90225,0.61968,1.19769,0.62828,1.22463,0.0085348,0.0085348,0.0085348
76,1422.39,1.18394,0.72713,1.07315,0.85297,0.86422,0.90293,0.62008,1.19748,0.62818,1.22479,0.008515,0.008515,0.008515
77,1781.27,1.18086,0.72377,1.06957,0.85308,0.86346,0.90287,0.61994,1.19703,0.62787,1.22469,0.0084952,0.0084952,0.0084952
78,2133.93,1.17543,0.721,1.06922,0.85574,0.86141,0.90313,0.61991,1.19665,0.62789,1.22449,0.0084754,0.0084754,0.0084754
79,2478.53,1.18101,0.72597,1.07208,0.8577,0.85975,0.90341,0.61978,1.19634,0.62806,1.22454,0.0084556,0.0084556,0.0084556
80,2823.95,1.18144,0.72854,1.07445,0.85723,0.85999,0.90343,0.61993,1.19605,0.62808,1.22425,0.0084358,0.0084358,0.0084358
81,3169.12,1.18624,0.73372,1.07393,0.85753,0.85897,0.90346,0.62002,1.19571,0.62857,1.22399,0.008416,0.008416,0.008416
82,3514.81,1.18691,0.73055,1.0713,0.85778,0.85866,0.90338,0.62022,1.19563,0.62868,1.22387,0.0083962,0.0083962,0.0083962
83,3858.39,1.181,0.72682,1.07108,0.85831,0.85916,0.90358,0.62051,1.19529,0.62824,1.22369,0.0083764,0.0083764,0.0083764
84,4201.71,1.18587,0.72626,1.07121,0.85842,0.85932,0.90373,0.62052,1.19497,0.62814,1.22363,0.0083566,0.0083566,0.0083566
85,4547.52,1.17701,0.72359,1.06994,0.85884,0.85922,0.90356,0.62072,1.19499,0.62823,1.22352,0.0083368,0.0083368,0.0083368
86,4894.97,1.17945,0.72601,1.07119,0.85887,0.85946,0.9032,0.62115,1.19463,0.62788,1.22342,0.008317,0.008317,0.008317
